fpr,tpr,thresholds
0.0,0.0,inf
0.00010509721492380452,0.0,0.175
0.00021019442984760903,0.0,0.16
0.0006305832895428271,0.0,0.15
0.0011560693641618498,0.0,0.145
0.0016815554387808723,0.002061855670103093,0.14
0.002627430373095113,0.002061855670103093,0.135
0.0036784025223331584,0.004123711340206186,0.13
0.005149763531266421,0.008247422680412371,0.125
0.007882291119285338,0.010309278350515464,0.12
0.010825013137151866,0.016494845360824743,0.115
0.01797162375197057,0.020618556701030927,0.11
0.025223331581713086,0.03505154639175258,0.105
0.03531266421439832,0.03711340206185567,0.1
0.048870204939569103,0.04742268041237113,0.095
0.06705202312138728,0.07010309278350516,0.09
0.08702049395691014,0.088659793814433,0.085
0.11550183920126117,0.11134020618556702,0.08
0.15470310036784024,0.1731958762886598,0.075
0.20063058328954284,0.23917525773195877,0.07
0.25738307934839727,0.29690721649484536,0.065
0.3213872832369942,0.354639175257732,0.06
0.3941145559642669,0.4577319587628866,0.055
0.47566999474513927,0.5711340206185567,0.05
0.558066211245402,0.6762886597938145,0.045
0.6426694692590647,0.7546391752577319,0.04
0.729059379926432,0.8185567010309278,0.035
0.8076720966894377,0.8721649484536083,0.03
0.8768260641093011,0.9237113402061856,0.025
0.9332632685233841,0.9567010309278351,0.02
0.9668943772990016,0.9670103092783505,0.015
0.9883342091434577,0.9876288659793815,0.01
0.9977929584866001,0.9958762886597938,0.005
1.0,1.0,0.0
